suburb_name,image_location,local_government_area,optional_fun_fact,anchor_suburb
Newmarket,output/localities/Newmarket.jpg,Brisbane City,,Newmarket
Newstead,output/localities/Newstead.jpg,Brisbane City,,Newstead
Norman Park,output/localities/Norman Park.jpg,Brisbane City,,Norman Park
Northgate,output/localities/Northgate.jpg,Brisbane City,,Northgate
Nudgee,output/localities/Nudgee.jpg,Brisbane City,,Nudgee
Nudgee Beach,output/localities/Nudgee Beach.jpg,Brisbane City,,Nudgee Beach
Nundah,output/localities/Nundah.jpg,Brisbane City,,Nundah
Oxley,output/localities/Oxley.jpg,Brisbane City,,Oxley
Paddington,output/localities/Paddington.jpg,Brisbane City,,Paddington
Pallara,output/localities/Pallara.jpg,Brisbane City,,Pallara
Parkinson,output/localities/Parkinson.jpg,Brisbane City,,Parkinson
Petrie Terrace,output/localities/Petrie Terrace.jpg,Brisbane City,,Petrie Terrace
Pinjarra Hills,output/localities/Pinjarra Hills.jpg,Brisbane City,,Pinjarra Hills
Pinkenba,output/localities/Pinkenba.jpg,Brisbane City,,Pinkenba
Port Of Brisbane,output/localities/Port Of Brisbane.jpg,Brisbane City,,Port Of Brisbane
Pullenvale,output/localities/Pullenvale.jpg,Brisbane City,,Pullenvale
Ransome,output/localities/Ransome.jpg,Brisbane City,,Ransome
Red Hill,output/localities/Red Hill.jpg,Brisbane City,,Red Hill
Richlands,output/localities/Richlands.jpg,Brisbane City,,Richlands
Riverhills,output/localities/Riverhills.jpg,Brisbane City,,Riverhills
Robertson,output/localities/Robertson.jpg,Brisbane City,,Robertson
Rochedale,output/localities/Rochedale.jpg,Brisbane City,,Rochedale
Rocklea,output/localities/Rocklea.jpg,Brisbane City,,Rocklea
Runcorn,output/localities/Runcorn.jpg,Brisbane City,,Runcorn
Salisbury,output/localities/Salisbury.jpg,Brisbane City,,Salisbury
Sandgate,output/localities/Sandgate.jpg,Brisbane City,,Sandgate
Seven Hills,output/localities/Seven Hills.jpg,Brisbane City,,Seven Hills
Seventeen Mile Rocks,output/localities/Seventeen Mile Rocks.jpg,Brisbane City,,Seventeen Mile Rocks
Sherwood,output/localities/Sherwood.jpg,Brisbane City,,Sherwood
Shorncliffe,output/localities/Shorncliffe.jpg,Brisbane City,,Shorncliffe
Sinnamon Park,output/localities/Sinnamon Park.jpg,Brisbane City,,Sinnamon Park
South Brisbane,output/localities/South Brisbane.jpg,Brisbane City,,South Brisbane
Spring Hill,output/localities/Spring Hill.jpg,Brisbane City,,Spring Hill
St Lucia,output/localities/St Lucia.jpg,Brisbane City,,St Lucia
Stafford and Stafford Heights,output/combined_localities/Stafford and Stafford Heights.jpg,Brisbane City,,Stafford
Stones Corner,output/localities/Stones Corner.jpg,Brisbane City,,Stones Corner
Stretton,output/localities/Stretton.jpg,Brisbane City,,Stretton
Sumner,output/localities/Sumner.jpg,Brisbane City,,Sumner
Sunnybank and Sunnybank Hills,output/combined_localities/Sunnybank and Sunnybank Hills.jpg,Brisbane City,,Sunnybank
Taigum,output/localities/Taigum.jpg,Brisbane City,,Taigum
Taringa,output/localities/Taringa.jpg,Brisbane City,,Taringa
Tarragindi,output/localities/Tarragindi.jpg,Brisbane City,Named after "Tarra Gindi" who was transported to Australia from the Loyalty Islands in the late 1800s.,Tarragindi
Teneriffe,output/localities/Teneriffe.jpg,Brisbane City,,Teneriffe
Tennyson,output/localities/Tennyson.jpg,Brisbane City,,Tennyson
The Gap,output/localities/The Gap.jpg,Brisbane City,,The Gap
Tingalpa,output/localities/Tingalpa.jpg,Brisbane City,,Tingalpa
Toowong,output/localities/Toowong.jpg,Brisbane City,,Toowong
Upper Kedron,output/localities/Upper Kedron.jpg,Brisbane City,,Upper Kedron
Virginia,output/localities/Virginia.jpg,Brisbane City,,Virginia
Wacol,output/localities/Wacol.jpg,Brisbane City,,Wacol
Wakerley,output/localities/Wakerley.jpg,Brisbane City,,Wakerley
Wavell Heights,output/localities/Wavell Heights.jpg,Brisbane City,,Wavell Heights
West End,output/localities/West End.jpg,Brisbane City,,West End
Westlake,output/localities/Westlake.jpg,Brisbane City,,Westlake
Willawong,output/localities/Willawong.jpg,Brisbane City,,Willawong
Wilston,output/localities/Wilston.jpg,Brisbane City,,Wilston
Windsor,output/localities/Windsor.jpg,Brisbane City,,Windsor
Wishart,output/localities/Wishart.jpg,Brisbane City,,Wishart
Woolloongabba,output/localities/Woolloongabba.jpg,Brisbane City,,Woolloongabba
Wooloowin,output/localities/Wooloowin.jpg,Brisbane City,,Wooloowin
Wynnum,output/localities/Wynnum.jpg,Brisbane City,,Wynnum
Wynnum West,output/localities/Wynnum West.jpg,Brisbane City,,Wynnum West
Yeerongpilly,output/localities/Yeerongpilly.jpg,Brisbane City,,Yeerongpilly
Yeronga,output/localities/Yeronga.jpg,Brisbane City,,Yeronga
Zillmere,output/localities/Zillmere.jpg,Brisbane City,,Zillmere
